doc_id,ela_score,dct_score,metadata_flag_count,clone_ratio,text_alignment_score,font_inconsistency,signature_mismatch,noise_hotspots,color_patch_score,ai_artifact_score,compression_mismatch,label,hard_case
DOC_00001,59.838214221916424,56.362410824650034,2,0.03653753813184622,52.83959473967036,66.05772615529602,-1.0,52.457613678197276,46.47187777111601,18.18182973063331,45.026123673116786,0,0
DOC_00002,15.496618317868423,31.032303664739594,1,0.08330846297685378,12.789184292999739,0.0,0.0,29.16560676779641,0.0,0.0,20.395568465277748,0,0
DOC_00003,18.592819964184855,46.17027382056785,0,0.014624251193606655,0.0,30.138172410588965,0.0,52.0280120733577,4.438482849263402,20.367217633593185,24.916187317082418,0,0
DOC_00004,78.68965051663324,59.86932563836801,4,0.093859789412161,67.46143319826669,58.61923228790967,64.03381942082257,48.24456641919224,53.70434562771496,18.3426462684102,54.97217126088483,0,0
DOC_00005,60.990593866262095,44.13636026546676,1,0.023554638814418966,79.85440726239074,48.03385262987829,0.0,61.81962785789516,52.83469743427727,24.136321710308685,45.900690249206825,0,0
DOC_00006,10.852237091184168,39.03227452219795,2,0.002538802311635551,0.0,0.5961356390032506,7.989162565084344,34.76269924167793,0.0,0.0,34.0070248579748,0,0
DOC_00007,46.53730364544651,41.3154090573986,1,0.015181946323693917,46.4138932022097,27.408174797817555,26.080559926955473,37.170212200048404,24.30707910994561,9.644959051102536,62.93250135445709,0,0
DOC_00008,23.297911329802456,38.176063729660065,2,0.019041052170501335,10.254881634616202,2.830503832495925,0.0,33.58652310729278,20.862061874557334,0.0,17.449016905007102,0,0
DOC_00009,54.92693758962109,58.02682256708795,2,0.008452713356252816,27.934810606753743,28.55408502313372,20.79285218882944,35.777933338637744,17.0229560492887,11.028405461884013,6.658553876530018,0,0
DOC_00010,33.187315755217895,46.8581453644778,1,0.020917034861326893,24.112535150280443,13.938174500107054,-1.0,22.599768479165814,20.18825060888792,9.048083100991196,40.686042620127274,0,0
DOC_00011,75.22746140283591,43.34844978581986,2,0.03508773985332795,63.342501767161636,65.8795554560765,-1.0,28.486957587658164,53.12310237821463,23.47484862589358,24.223755611504462,0,0
DOC_00012,10.575282572282532,29.037477326834384,1,0.013032322468332521,16.547558162704338,9.60670878265446,18.925649778996508,27.073640870066605,6.468134677137667,0.0,15.377478955986186,0,0
DOC_00013,0.0,30.236161395983473,1,0.04435649179375591,0.0,0.0,-1.0,31.426369295262994,3.906596972745561,0.0,8.5929106835819,0,0
DOC_00014,53.66412219847522,28.630917508151892,2,0.12126898599013367,61.48894949177566,31.713679001863923,40.45930356161002,28.96828731751604,48.77264892836088,4.139446270017393,33.39094296708128,0,0
DOC_00015,42.07837008487668,51.90345581833062,1,0.00996314158205142,41.421146806224506,27.134221996881845,32.78047218854499,31.968032950577694,29.304600964103994,10.550080169369156,29.89500437899403,0,0
DOC_00016,16.550976460896713,39.49019101794882,0,0.07082620818754735,0.0,0.0,0.0,17.845631243658495,18.63590643563913,0.0,14.702799106989234,0,0
DOC_00017,9.811488534313433,43.74195740591048,1,0.01000962323607257,39.45214682281395,13.836910266597421,-1.0,23.32181562653223,23.79476764412113,3.7448836187494714,16.118601721886016,0,0
DOC_00018,16.842436943700708,38.9026146744734,2,0.0027170852135061123,0.0,3.3584988385557404,3.2780285586624345,28.211276196127784,8.112534784675713,8.390421533029429,3.507147514682474,0,0
DOC_00019,46.348103328781555,67.31086381721998,2,0.05655190422869436,25.533651827967716,24.821141683149246,0.0,29.430092678664103,8.612698385602148,10.0476970947999,7.416008821461396,0,0
